Particle Diameter (nm),Conductivity (S/m)
1.6548883472169695,2.4259076251445544,S-SEBS
8.652255229745517,2.186535340642265,S-SEBS
17.134325159028638,1.912758798967142,S-SEBS
1.6548883472169695,-4.982087915284773,PBA-a
8.652255229745517,-5.403434721518054,PBA-a
17.134325159028638,-5.475238229460373,PBA-a
1.6548883472169695,1.4605151549224324,Poly(hexafluoro propylene)
8.652255229745517,20.973436178030813,Poly(hexafluoro propylene)
17.134325159028638,234.48425915296946,Poly(hexafluoro propylene)
1.6548883472169695,3.878492871036355,S-EB-S
8.652255229745517,3.2914338341875387,S-EB-S
17.134325159028638,3.212868242898079,S-EB-S
1.6548883472169695,-5.010881776338175,Poly(ethylene terephthalate)
8.652255229745517,6.616988267031026,Poly(ethylene terephthalate)
17.134325159028638,-11.97286962947476,Poly(ethylene terephthalate)
