Hardness (HV),Porosity (%)
6.874219828023911,-2.3882074091152834,0.65% Mineral oil/Poly(vinyl alcohol)
8.358495041412095,-2.374201053190315,0.65% Mineral oil/Poly(vinyl alcohol)
8.454914001820155,-2.4143440252771007,0.65% Mineral oil/Poly(vinyl alcohol)
6.888096782427491,-2.8988252423737304,0.65% Mineral oil/Poly(vinyl alcohol)
7.054382639333838,-2.6726096518658538,0.65% Mineral oil/Poly(vinyl alcohol)
12.021470307896749,-5.716146752181539,0.65% Mineral oil/Poly(vinyl alcohol)
0,3.0730786389753852,0.63% Mineral oil/Poly(vinyl alcohol)
7,9.623849095500185,0.63% Mineral oil/Poly(vinyl alcohol)
10,15.842065861698702,0.63% Mineral oil/Poly(vinyl alcohol)
5,8.273856677228752,0.13% Mineral oil/Poly(vinyl alcohol)
12,8.025332794682335,0.13% Mineral oil/Poly(vinyl alcohol)
15,8.010749451536824,0.13% Mineral oil/Poly(vinyl alcohol)
