Annealing Temperature (°C),Peel Strength (N/m)
2.4667799974279503,-0.596186160400553,Poly(glycidyl methacrylate)
3.8684108412349594,-0.39783148248814626,Poly(glycidyl methacrylate)
4.7551281513424515,-0.47863396507129563,Poly(glycidyl methacrylate)
5.096494449832645,-0.5417297704593751,Poly(glycidyl methacrylate)
10.099196006571843,-0.7067475071286017,Poly(glycidyl methacrylate)
13.462714550009453,-0.8063180635814082,Poly(glycidyl methacrylate)
2.23085302520444,-0.16316667243807992,Nylon 11
6.044823828881192,-0.4209807579667023,Nylon 11
6.557896519467851,-0.4085087404332116,Nylon 11
8.769751896351218,-0.6477986060583816,Nylon 11
10.141796352271399,-0.6943498373090092,Nylon 11
14.09160755827778,-0.7403406736241434,Nylon 11
