pH,Saturation Magnetization (A/m)
2.54870000837655,2.0011165904537336,0.14% Multi-wall carbon nanotubes
10.98434949245078,1.5986450642064742,0.14% Multi-wall carbon nanotubes
13.282388209907337,1.5261488831630325,0.14% Multi-wall carbon nanotubes
15.042032668193603,1.5142940026349287,0.14% Multi-wall carbon nanotubes
2.54870000837655,-2.6053669642597286,0.38% Multi-wall carbon nanotubes
10.98434949245078,-1.5026676655762268,0.38% Multi-wall carbon nanotubes
13.282388209907337,-3.8295493108404752,0.38% Multi-wall carbon nanotubes
15.042032668193603,2.0145924429038615,0.38% Multi-wall carbon nanotubes
2.54870000837655,-1.6597409980713893,0.41% Multi-wall carbon nanotubes
10.98434949245078,-2.1312425757286424,0.41% Multi-wall carbon nanotubes
13.282388209907337,-2.1426897155316813,0.41% Multi-wall carbon nanotubes
15.042032668193603,-2.2099352082173107,0.41% Multi-wall carbon nanotubes
