Drying Time (h),Tg (°C)
2,7.905137144459582,0.68% PVA/EPDM
6,7.5501171747240505,0.68% PVA/EPDM
7,7.5102660583438805,0.68% PVA/EPDM
16,7.233141399741013,0.68% PVA/EPDM
17,7.2294935559123585,0.68% PVA/EPDM
2,-4.678267752707437,0.42% PVA/EPDM
6,-5.079085751962974,0.42% PVA/EPDM
7,-5.084562871543752,0.42% PVA/EPDM
16,-5.209334504673316,0.42% PVA/EPDM
17,-5.212016550796208,0.42% PVA/EPDM
2,-3.23427303182811,0.33% PVA/EPDM
6,-3.7417053772926216,0.33% PVA/EPDM
7,-3.7760407045344015,0.33% PVA/EPDM
16,-3.902282518118422,0.33% PVA/EPDM
17,-3.9046614263594983,0.33% PVA/EPDM
