Heat Capacity (J/K),Thermal Stability (°C)
2,3.759919634802186,single-walled CNTs/PA 8
7,5.47424353477229,single-walled CNTs/PA 8
18,209.67837025906493,single-walled CNTs/PA 8
2,3.3791627954918706,barium titanate/PA 8
7,3.1205681399828666,barium titanate/PA 8
18,2.7640732226251177,barium titanate/PA 8
2,-4.497556084811643,Graphite oxide/PA 8
7,-4.949193372878253,Graphite oxide/PA 8
18,-5.074967190180667,Graphite oxide/PA 8
2,4.806557566013435,HAF/PA 8
7,4.690864439007415,HAF/PA 8
18,4.342783684834424,HAF/PA 8
2,7.033715383528964,silver/PA 8
7,8.584826491721156,silver/PA 8
18,6.525821681743287,silver/PA 8
