Filler Content (%),Passivation Current Density (A/m²)
4.547856762408866,-2.30554085298385,Aluminium/Poly(butylene)
4.9013550203574185,-2.3026274290504407,Aluminium/Poly(butylene)
13.863115812219464,-2.632637748002075,Aluminium/Poly(butylene)
14.746097639976309,-2.659320271022561,Aluminium/Poly(butylene)
15.503969094273284,-2.6743071520402815,Aluminium/Poly(butylene)
4.547856762408866,4.665650730732196,graphene oxide/Poly(butylene)
4.9013550203574185,4.418457761302033,graphene oxide/Poly(butylene)
13.863115812219464,32.32853231905633,graphene oxide/Poly(butylene)
14.746097639976309,-68.17781861850084,graphene oxide/Poly(butylene)
15.503969094273284,291.31011861790233,graphene oxide/Poly(butylene)
4.547856762408866,-6.35621460988355,Zinc Oxide/Poly(butylene)
4.9013550203574185,-6.2958804910590835,Zinc Oxide/Poly(butylene)
13.863115812219464,-6.679237726142348,Zinc Oxide/Poly(butylene)
14.746097639976309,-6.671832594966974,Zinc Oxide/Poly(butylene)
15.503969094273284,-6.6915567866793,Zinc Oxide/Poly(butylene)
4.547856762408866,-5.622652154527624, Graphite/Poly(butylene)
4.9013550203574185,-5.643790688859419, Graphite/Poly(butylene)
13.863115812219464,-5.872949298605271, Graphite/Poly(butylene)
14.746097639976309,-5.876960380370065, Graphite/Poly(butylene)
15.503969094273284,-5.8802644515575295, Graphite/Poly(butylene)
