Calcination Time (h),Thermal Stability (°C)
4.962606445811706,7.271642790747497,CaCu3Ti4O12/SAN24
11.09837062676583,6.997395535755966,CaCu3Ti4O12/SAN24
12.376606579751678,6.936199446034742,CaCu3Ti4O12/SAN24
14.679637170404789,6.908448292048517,CaCu3Ti4O12/SAN24
18.17036602174354,6.84028790572037,CaCu3Ti4O12/SAN24
4.962606445811706,7.536321896024913,titania/SAN24
11.09837062676583,7.383282299425471,titania/SAN24
12.376606579751678,7.371724164173114,titania/SAN24
14.679637170404789,7.360362517969425,titania/SAN24
18.17036602174354,7.3525309851782765,titania/SAN24
