Dispersing Time (min),Magnetic Permeability (H/m)
1,1.2389076493238957,multi-walled carbon nanotube/PVC
8,0.6635228798740944,multi-walled carbon nanotube/PVC
13,0.5753422214991011,multi-walled carbon nanotube/PVC
16,0.5631343526448446,multi-walled carbon nanotube/PVC
17,0.5603528993731811,multi-walled carbon nanotube/PVC
1,3.1156386998799315,Synthetic fluorine mica/PVC
8,13.711402026738247,Synthetic fluorine mica/PVC
13,18.34209144848368,Synthetic fluorine mica/PVC
16,146.30815600974864,Synthetic fluorine mica/PVC
17,-37.34505823212143,Synthetic fluorine mica/PVC
1,8.391405894579135,ZnO/PVC
8,7.933085562975416,ZnO/PVC
13,7.72045430553009,ZnO/PVC
16,7.667905770077553,ZnO/PVC
17,7.641616406862245,ZnO/PVC
1,-6.75616530951098,graphite nanoplatelets/PVC
8,-7.34805419763244,graphite nanoplatelets/PVC
13,-7.4315215995956025,graphite nanoplatelets/PVC
16,-7.4425044186059335,graphite nanoplatelets/PVC
17,-7.4442678048432445,graphite nanoplatelets/PVC
1,0.8966658741122862,multi-walled CNT/PVC
8,0.4781985365380789,multi-walled CNT/PVC
13,0.4109257219647987,multi-walled CNT/PVC
16,0.3981301684386381,multi-walled CNT/PVC
17,0.39598481288579296,multi-walled CNT/PVC
