Annealing Temperature (°C),Degradation Temperature (°C)
0,-6.94094558512304,0.33% montmorillonite K-10
8,-7.369923304011549,0.33% montmorillonite K-10
12,-7.589940568654065,0.33% montmorillonite K-10
13,-7.59678797816916,0.33% montmorillonite K-10
14,-7.641854058526277,0.33% montmorillonite K-10
16,-7.676380225048071,0.33% montmorillonite K-10
0,-2.45350438173761,0.41% montmorillonite K-10
8,-3.239761430471982,0.41% montmorillonite K-10
12,-3.4134884232987486,0.41% montmorillonite K-10
13,-3.389826028999213,0.41% montmorillonite K-10
14,-3.4434308591150833,0.41% montmorillonite K-10
16,-3.476669045812858,0.41% montmorillonite K-10
