wt% (%),Kinematic Viscosity (mm²/s)
4,1.1730467390555277,PBA
7,1.0139079650294098,PBA
18,0.8855595430763048,PBA
4,-0.5000363846026707,Poly(caprolactone)
7,-0.5836643714562421,Poly(caprolactone)
18,-0.9383556456555815,Poly(caprolactone)
4,-2.636299465779496,PVAC
7,-2.7277887256385283,PVAC
18,593.5896976180607,PVAC
4,-1.7749626929254947,silicone
7,2.1857258416217995,silicone
18,-267.3924605339761,silicone
4,1.5912412252892492,Polychlorotrifluoroethylene
7,5.462547124967127,Polychlorotrifluoroethylene
18,520.9352063904977,Polychlorotrifluoroethylene
