Loading Concentration (%),Thermal Diffusivity (mm²/s)
0.7455805947171834,7.218808755943854,multi-walled CNT/PnBA
1.376127960459892,7.241394342938055,multi-walled CNT/PnBA
9.169835142492936,6.895915947813851,multi-walled CNT/PnBA
16.489013785739765,6.666222186887461,multi-walled CNT/PnBA
0.7455805947171834,6.925044234964046,Zinc oxide/PnBA
1.376127960459892,6.8471208937564105,Zinc oxide/PnBA
9.169835142492936,7.135667248703879,Zinc oxide/PnBA
16.489013785739765,2.0460538763083127,Zinc oxide/PnBA
0.7455805947171834,-6.13404134118189,White mineral oil/PnBA
1.376127960459892,-5.073291879565354,White mineral oil/PnBA
9.169835142492936,9.125691632723452,White mineral oil/PnBA
16.489013785739765,-37.55431951058303,White mineral oil/PnBA
0.7455805947171834,7.4852642246504955,talc/PnBA
1.376127960459892,7.534749747012668,talc/PnBA
9.169835142492936,17.67291663102432,talc/PnBA
16.489013785739765,209.35180794842654,talc/PnBA
0.7455805947171834,-5.363522574231347,Zirconium dioxide/PnBA
1.376127960459892,-5.515406733505221,Zirconium dioxide/PnBA
9.169835142492936,-6.088007125690138,Zirconium dioxide/PnBA
16.489013785739765,-6.266615213930512,Zirconium dioxide/PnBA
