Pressure (Pa),Specific Viscosity
0.9339309103902793,4.72089771045814,Copper phenylphosphate/PGMA
2.363733608376981,4.500025540170697,Copper phenylphosphate/PGMA
9.66908576391292,6.21166146284141,Copper phenylphosphate/PGMA
0.10158642409498597,-3.296889222833138,Silver nitrate/PGMA
17.693497878687424,247.35310324303447,Silver nitrate/PGMA
18.549214797190075,-115.1792716182947,Silver nitrate/PGMA
2.2286667015317763,4.265485330270269,graphene oxide/PGMA
2.887977087134026,4.184812351646922,graphene oxide/PGMA
5.899851046550955,3.9851931288807476,graphene oxide/PGMA
5,-2.067495378154759,graphene nanoribbon/PGMA
8,-2.206035241254346,graphene nanoribbon/PGMA
13,-2.2763156477695703,graphene nanoribbon/PGMA
3,-4.032667660241086,Graphite/PGMA
6,-3.9339833380480584,Graphite/PGMA
8,0.43387388899678303,Graphite/PGMA
