Particle Diameter (nm),Passivation Current Density (A/m²)
11.785006000231224,4.461949157877823,triglycidyl para-aminophenol
13.424004858030669,4.447300254689924,triglycidyl para-aminophenol
18.736417733484096,4.433752872326745,triglycidyl para-aminophenol
19.73403893364233,4.432852811199706,triglycidyl para-aminophenol
11.785006000231224,3.2933540988809313,PMMA-PnBA
13.424004858030669,4.186300841755966,PMMA-PnBA
18.736417733484096,18.3903112972108,PMMA-PnBA
19.73403893364233,1.028444405044139,PMMA-PnBA
11.785006000231224,8.445566045520993,BPA-Ph
13.424004858030669,8.271486934056181,BPA-Ph
18.736417733484096,5.165318866577776,BPA-Ph
19.73403893364233,23.207167197276608,BPA-Ph
11.785006000231224,-3.195053184556532,PαMS
13.424004858030669,-3.2759081627779563,PαMS
18.736417733484096,-3.356479526083776,PαMS
19.73403893364233,-3.3687294272850568,PαMS
11.785006000231224,6.145618921635406,Poly(vinyl butyral)
13.424004858030669,6.1309539677835785,Poly(vinyl butyral)
18.736417733484096,6.11672489083207,Poly(vinyl butyral)
19.73403893364233,6.1156676622934505,Poly(vinyl butyral)
