Thermal Diffusivity (mm²/s),Specific Viscosity
7.147935191073285,8.219479997325946,0.95% carbon nanotube
8.78271048975392,18.641010221892458,0.95% carbon nanotube
19.630104871120377,530.2258500450611,0.95% carbon nanotube
7.147935191073285,0.9112133308264967,0.29% carbon nanotube
8.78271048975392,0.8332140075864715,0.29% carbon nanotube
19.630104871120377,0.7727577894191285,0.29% carbon nanotube
7.147935191073285,-3.5531434593138806,0.59% carbon nanotube
8.78271048975392,4.879837157060113,0.59% carbon nanotube
19.630104871120377,-616.3178840366794,0.59% carbon nanotube
7.147935191073285,1.5935002728908583,0.48% carbon nanotube
8.78271048975392,1.528625164163592,0.48% carbon nanotube
19.630104871120377,1.2633000006841477,0.48% carbon nanotube
7.147935191073285,7.49515942646381,0.84% carbon nanotube
8.78271048975392,6.801606126210067,0.84% carbon nanotube
19.630104871120377,-1.546363967768933,0.84% carbon nanotube
