Nanoparticle Mass (%),Loss Factor
3,-4.516502833679244,P(Baph)
4,-2.9059731512356555,P(Baph)
5,-0.22140272550256235,P(Baph)
6,-1.2202651915693004,P(Baph)
13,98.13486700826314,P(Baph)
3,8.613556894696345,PMA
4,8.368676498481829,PMA
5,8.764442957410594,PMA
6,8.507876045733202,PMA
13,9.470995495406598,PMA
3,5.53970602500587,PETE
4,6.0901232901902596,PETE
5,7.8851427681851645,PETE
6,6.219309497483081,PETE
13,58.47520258850903,PETE
3,5.259119158765375,Poly(BA-a)
4,5.317906499224458,Poly(BA-a)
5,5.281839482946793,Poly(BA-a)
6,5.203969827077438,Poly(BA-a)
13,4.91521830538319,Poly(BA-a)
3,0.36771424496300176,aPP
4,0.5301848859951943,aPP
5,0.3323083347436502,aPP
6,0.39951782141496306,aPP
13,0.07039127052623023,aPP
