Melting Temperature (°C),Polarization Resistance (Ω·m²)
0,-6.89891841828492,P(Baph)
3,-6.78354269451269,P(Baph)
5,-7.184890451709047,P(Baph)
19,-7.690286822478816,P(Baph)
5,0.04684993735657561,P(VDF-HFP)
9,3.1002815725441533,P(VDF-HFP)
10,2.0552205244403106,P(VDF-HFP)
13,3.5756965549633124,P(VDF-HFP)
0.9743302116294261,8.050986528352093,Poly(methyl methacrylate)
9.7791898962117,7.404166669421822,Poly(methyl methacrylate)
10.265270826463603,7.391716416768605,Poly(methyl methacrylate)
10.4600932915427,7.392896576732787,Poly(methyl methacrylate)
3.407849013910289,-4.805284174564142,PTFCE
6.523892947776915,-5.160472220513538,PTFCE
17.868858669685544,-5.535757164893932,PTFCE
18.042238417449333,-5.539730975441129,PTFCE
3,-6.676071333909487,XNBR
4,-6.579188046463205,XNBR
8,-6.985213014240011,XNBR
10,-7.014628173410688,XNBR
