Aging Time (h),Thermal Diffusivity (mm²/s)
4.315653206491119,3.9747952494949783,0.26% Titanium dioxide
4.994018919212753,3.877335393565839,0.26% Titanium dioxide
7.305943589678567,3.7054467360467074,0.26% Titanium dioxide
12.326321485225048,3.5255423546204536,0.26% Titanium dioxide
12.813945750386369,3.5428831432311854,0.26% Titanium dioxide
17.937827597607832,3.4044003512150516,0.26% Titanium dioxide
4.315653206491119,8.956738501512135,0.85% Titanium dioxide
4.994018919212753,7.990020766152609,0.85% Titanium dioxide
7.305943589678567,8.966235749854947,0.85% Titanium dioxide
12.326321485225048,11.677157575512275,0.85% Titanium dioxide
12.813945750386369,12.797903618326568,0.85% Titanium dioxide
17.937827597607832,1.7355768218701888,0.85% Titanium dioxide
4.315653206491119,4.356488499606465,0.9% Titanium dioxide
4.994018919212753,4.41113548135174,0.9% Titanium dioxide
7.305943589678567,4.236540381006599,0.9% Titanium dioxide
12.326321485225048,4.086910997613199,0.9% Titanium dioxide
12.813945750386369,4.058857759121836,0.9% Titanium dioxide
17.937827597607832,3.9434892597826385,0.9% Titanium dioxide
4.315653206491119,-0.8558250097971118,0.89% Titanium dioxide
4.994018919212753,-0.9369855045212745,0.89% Titanium dioxide
7.305943589678567,-1.0286266840090281,0.89% Titanium dioxide
12.326321485225048,-1.1026408258442146,0.89% Titanium dioxide
12.813945750386369,-1.1082748758141465,0.89% Titanium dioxide
17.937827597607832,-1.1258303619496168,0.89% Titanium dioxide
4.315653206491119,-0.9535903952371116,0.95% Titanium dioxide
4.994018919212753,-0.32922172666149496,0.95% Titanium dioxide
7.305943589678567,-2.187267594460314,0.95% Titanium dioxide
12.326321485225048,58.602888324272605,0.95% Titanium dioxide
12.813945750386369,-32.47519380194671,0.95% Titanium dioxide
17.937827597607832,221.21656185180336,0.95% Titanium dioxide
