Neutron Flux (n/cm²/s),Polarization Resistance (Ω·m²)
1,6.619670175409578,Lamp black/BPA-Ph
2,7.763104857893197,Lamp black/BPA-Ph
4,7.899333908886399,Lamp black/BPA-Ph
5,9.132971103391087,Lamp black/BPA-Ph
16,83.92301189775779,Lamp black/BPA-Ph
1,3.29319391811482,Gold/BPA-Ph
2,3.2846049378626487,Gold/BPA-Ph
4,3.65912752756511,Gold/BPA-Ph
5,3.8364573150653567,Gold/BPA-Ph
16,10.461446200405243,Gold/BPA-Ph
1,-3.9852083881146583,Paraffin oil/BPA-Ph
2,-4.04290393530182,Paraffin oil/BPA-Ph
4,-3.638881750820974,Paraffin oil/BPA-Ph
5,-3.3979717417259243,Paraffin oil/BPA-Ph
16,-1.073854131726601,Paraffin oil/BPA-Ph
1,-0.7714291457663935,polyaniline/BPA-Ph
2,-0.6659261250304698,polyaniline/BPA-Ph
4,0.11000765644085009,polyaniline/BPA-Ph
5,-0.9846169128748297,polyaniline/BPA-Ph
16,-5.247859932120793,polyaniline/BPA-Ph
1,-0.38759487440044316,Zinc Oxide/BPA-Ph
2,-0.6645452281534425,Zinc Oxide/BPA-Ph
4,-1.2161776312500718,Zinc Oxide/BPA-Ph
5,0.41360263347965276,Zinc Oxide/BPA-Ph
16,2.970674521245172,Zinc Oxide/BPA-Ph
