Aspect Ratio,Porosity (%)
2.3372155159419106,-7.283224213104632,0.02% Carbon nanofibers
4.451001582817391,-7.420182098678411,0.02% Carbon nanofibers
6.0621073829074295,-7.566501856249235,0.02% Carbon nanofibers
8.001592627157727,-7.631082891731824,0.02% Carbon nanofibers
9.488087169335607,-7.6665838887837365,0.02% Carbon nanofibers
15.883797488668613,-7.709176011639643,0.02% Carbon nanofibers
2.3372155159419106,4.613322168212673,0.0% Carbon nanofibers
4.451001582817391,4.353611861338529,0.0% Carbon nanofibers
6.0621073829074295,4.320025107456183,0.0% Carbon nanofibers
8.001592627157727,4.191412836933622,0.0% Carbon nanofibers
9.488087169335607,4.143584704863416,0.0% Carbon nanofibers
15.883797488668613,3.979741036028603,0.0% Carbon nanofibers
2.3372155159419106,-2.3785184939012023,0.27% Carbon nanofibers
4.451001582817391,-2.07729762199744,0.27% Carbon nanofibers
6.0621073829074295,-2.9030748106531594,0.27% Carbon nanofibers
8.001592627157727,-1.2949482957426564,0.27% Carbon nanofibers
9.488087169335607,-1.5517642793330424,0.27% Carbon nanofibers
15.883797488668613,1.84451906289664,0.27% Carbon nanofibers
