Particle Density,Thermal Conductivity (W/(m·K))
5.0981156924925415,-1.1860593343239336,magnesium oxide/Poly(bisphenol A carbonate)
5.886067286019432,-1.2630643907028802,magnesium oxide/Poly(bisphenol A carbonate)
10.991926588386036,-1.5208905095046275,magnesium oxide/Poly(bisphenol A carbonate)
15.539409030682796,-1.5859543107430425,magnesium oxide/Poly(bisphenol A carbonate)
16.867955283162463,-1.6118028342372501,magnesium oxide/Poly(bisphenol A carbonate)
5.0981156924925415,7.584973897732194,alumina/Poly(bisphenol A carbonate)
5.886067286019432,7.582321905629766,alumina/Poly(bisphenol A carbonate)
10.991926588386036,7.356777286822084,alumina/Poly(bisphenol A carbonate)
15.539409030682796,7.268737698608128,alumina/Poly(bisphenol A carbonate)
16.867955283162463,7.255852058411481,alumina/Poly(bisphenol A carbonate)
