Stirring Speed (rpm),Galvanic Potential (V)
1,-2.900574830773419,
4,-2.4730288248193624,
7,-2.3451210399607594,
15,3.7704427483191125,
16,-0.9130726584448947,
17,-6.218887934147586,
2.5386599606386784,6.319728517042592,
7.923276127327615,6.9236155067958665,
13.889314714006751,8.971704434564648,
14.433431846254383,7.288556224206983,
15.046120855717636,2.619560216450579,
19.93313363828239,10.563791221857029,
1,4.008336508602612,
3,4.213218447404727,
4,3.3899725323165795,
8,5.932662072661603,
10,5.3072809495055395,
18,5.657534590830682,
0,-0.9960747125493448,
5,-0.6333937023273126,
8,0.9513635785436207,
9,0.057363471333030214,
10,0.6611749918802459,
16,6.105658171797515,
