Glass Transition Temperature (°C),Ionic Conductivity (S/m)
3.5466000132597775,2.715901076675022,PHFP
6.408229642495769,6.12560898589178,PHFP
14.088023147525554,135.14581465082136,PHFP
17.513572760352986,-369.5109448736366,PHFP
3.5466000132597775,-3.837740623541645,triglycidyl para-aminophenol
6.408229642495769,-3.6321532715970966,triglycidyl para-aminophenol
14.088023147525554,0.11653079701041857,triglycidyl para-aminophenol
17.513572760352986,0.6918052899133285,triglycidyl para-aminophenol
3.5466000132597775,2.3484652991787605,PBI
6.408229642495769,2.0467624237286497,PBI
14.088023147525554,1.93991789233596,PBI
17.513572760352986,1.9304266284692266,PBI
3.5466000132597775,-6.682001550637936,Bisphenol E cyanate ester resin
6.408229642495769,-6.8709189589795905,Bisphenol E cyanate ester resin
14.088023147525554,-7.147001475724514,Bisphenol E cyanate ester resin
17.513572760352986,-7.2272404150653635,Bisphenol E cyanate ester resin
3.5466000132597775,3.7572834884652795,Poly(hexafluoro propylene)
6.408229642495769,10.581847849147195,Poly(hexafluoro propylene)
14.088023147525554,45.35108894792399,Poly(hexafluoro propylene)
17.513572760352986,476.08559278080634,Poly(hexafluoro propylene)
