Electric Field (V/m),Bet Surface Area
3.367512483037982,8.23712531734127,
3.982371638914759,8.938320741862402,
11.595137608567057,9.703247947482993,
12.359919152907468,14.35303982308694,
3.367512483037982,-7.058803146085834,
3.982371638914759,-7.222672948746664,
11.595137608567057,-7.424840428472084,
12.359919152907468,-7.430273638641691,
3.367512483037982,6.08889277247426,
3.982371638914759,6.1101600346503036,
11.595137608567057,5.7703779457471205,
12.359919152907468,5.766543580886269,
