Storage Time (days),Saturation Magnetization (A/m)
11.198027851182106,6.299354467082356,0.86% exfoliated graphene/EPDM
11.331922750380805,4.444435342280984,0.86% exfoliated graphene/EPDM
11.960736561242802,5.9099568640761655,0.86% exfoliated graphene/EPDM
0.5633430679740514,5.815943882880952,0.75% exfoliated graphene/EPDM
7.513524674600913,5.053314868219732,0.75% exfoliated graphene/EPDM
19.96571353976837,4.956302993735592,0.75% exfoliated graphene/EPDM
8,3.562954469749873,0.94% exfoliated graphene/EPDM
12,3.503497102588021,0.94% exfoliated graphene/EPDM
19,3.479952144950985,0.94% exfoliated graphene/EPDM
0.2829186894565372,-6.842466139092876,0.29% exfoliated graphene/EPDM
17.98814315616859,-7.5562564552974845,0.29% exfoliated graphene/EPDM
18.542261567023733,-7.55334113219045,0.29% exfoliated graphene/EPDM
