EV (V),Polarization Resistance (Ω·m²)
0.18459177979489372,7.273769877989881,PA 11
1.85471026407384,8.970352247096184,PA 11
2.4846204918575188,7.94376886835047,PA 11
10.883366232739625,55.2988972022046,PA 11
18.277999941004698,375.15983652828373,PA 11
0.18459177979489372,-4.464307648338873,PS-I
1.85471026407384,-2.898532343950159,PS-I
2.4846204918575188,-3.357403261272199,PS-I
10.883366232739625,47.96683676148259,PS-I
18.277999941004698,2.767199870074757,PS-I
0.18459177979489372,6.023873667683459,P(BA-a)
1.85471026407384,5.29989799592605,P(BA-a)
2.4846204918575188,5.186693652366035,P(BA-a)
10.883366232739625,4.73717330638341,P(BA-a)
18.277999941004698,4.7033305759327995,P(BA-a)
0.18459177979489372,1.7007462160084708,Nylon 8
1.85471026407384,2.5985636405561903,Nylon 8
2.4846204918575188,1.6626878553383224,Nylon 8
10.883366232739625,4.3867118257608295,Nylon 8
18.277999941004698,-1.8443145966587107,Nylon 8
0.18459177979489372,8.30612593763015,TPU
1.85471026407384,7.93065278424427,TPU
2.4846204918575188,7.965925449524545,TPU
10.883366232739625,7.41005872126621,TPU
18.277999941004698,7.253046818499071,TPU
