Particle Density,Dynamic Viscosity (Pa·s)
5.832573142778057,-1.6793465955888403,PTrFE
9.386573215640304,-1.8935846844513484,PTrFE
16.794895598258883,-2.044395373137829,PTrFE
19.27737894703063,-2.085504382061024,PTrFE
19.78558058733671,-2.100053821573234,PTrFE
5.832573142778057,-4.724493486295857,PA 11
9.386573215640304,-5.475881398110731,PA 11
16.794895598258883,-2.2978614347434263,PA 11
19.27737894703063,5.6806024223881035,PA 11
19.78558058733671,-0.13254381688372696,PA 11
5.832573142778057,2.46616516917711,sPP
9.386573215640304,13.478026074318123,sPP
16.794895598258883,121.9793605247502,sPP
19.27737894703063,338.4011876494077,sPP
19.78558058733671,1639.7720124608054,sPP
5.832573142778057,3.6168997216588425,UPR
9.386573215640304,5.9295778208299135,UPR
16.794895598258883,10.500315552482702,UPR
19.27737894703063,9.721590237590009,UPR
19.78558058733671,-6.799864516709421,UPR
5.832573142778057,2.916751974174211,PEVA
9.386573215640304,2.827603629428833,PEVA
16.794895598258883,2.7802315252688996,PEVA
19.27737894703063,2.7767650452295842,PEVA
19.78558058733671,2.7762425539201865,PEVA
