Heat Capacity (J/K),Passivation Current Density (A/m²)
3,0.32780881995371913,0.83% Sepiolite/Poly(vinyl alcohol)
5,0.19342995632730686,0.83% Sepiolite/Poly(vinyl alcohol)
15,-0.06540023717478341,0.83% Sepiolite/Poly(vinyl alcohol)
0,-4.118964705270815,0.51% Sepiolite/Poly(vinyl alcohol)
1,-4.038795060360879,0.51% Sepiolite/Poly(vinyl alcohol)
16,-0.9757705700928021,0.51% Sepiolite/Poly(vinyl alcohol)
0,-1.968249075339071,0.73% Sepiolite/Poly(vinyl alcohol)
7,-1.188248342622673,0.73% Sepiolite/Poly(vinyl alcohol)
19,-236.94102582266535,0.73% Sepiolite/Poly(vinyl alcohol)
7.941593693390767,1.0465367249058988,0.04% Sepiolite/Poly(vinyl alcohol)
11.356584499098698,0.9829589530439712,0.04% Sepiolite/Poly(vinyl alcohol)
15.095903319199003,0.9568385798432082,0.04% Sepiolite/Poly(vinyl alcohol)
0.6599675990172749,3.1145747776311854,0.28% Sepiolite/Poly(vinyl alcohol)
8.466738761633838,2.6295586086842544,0.28% Sepiolite/Poly(vinyl alcohol)
18.131700478619177,2.295016397155579,0.28% Sepiolite/Poly(vinyl alcohol)
