Curing Time (min),Hysteresis Loss (J/m³)
1,-1.5144370133930192,PEA
6,-2.148679207690315,PEA
10,-2.4162837434943576,PEA
3,7.11921115696762,Poly(ethyl methacrylate)
8,6.856198963573133,Poly(ethyl methacrylate)
10,6.800845240695758,Poly(ethyl methacrylate)
3,6.582816877589101,Poly(ethyl acrylate)
7,6.295078329839747,Poly(ethyl acrylate)
17,6.173140806988281,Poly(ethyl acrylate)
1.3652204521359823,-5.785392237798714,DGEBA Epoxy Resin
8.12975137620662,-6.438131604854833,DGEBA Epoxy Resin
17.257511598518352,-6.526548432692837,DGEBA Epoxy Resin
