Reaction Temperature (°C),Ionic Conductivity (S/m)
5.709037679422897,8.313941137057277,Poly(ethylene-vinyl acetate)
7.19252395301236,9.196781162886865,Poly(ethylene-vinyl acetate)
9.538261883208934,3.2247173869083436,Poly(ethylene-vinyl acetate)
5.709037679422897,-6.439629237480157,PUR
7.19252395301236,-6.52800372613215,PUR
9.538261883208934,-6.580948991320491,PUR
5.709037679422897,-3.1138994702625267,TGDDM
7.19252395301236,-4.122065478154592,TGDDM
9.538261883208934,6.8038498915925665,TGDDM
5.709037679422897,-7.762176279523064,PGMA
7.19252395301236,-7.862515401960013,PGMA
9.538261883208934,-7.923318404258649,PGMA
5.709037679422897,-4.998850417934426,Poly(styrene-co-acrylonitrile)
7.19252395301236,-5.081737898480808,Poly(styrene-co-acrylonitrile)
9.538261883208934,-5.149084537255152,Poly(styrene-co-acrylonitrile)
