Tensile Strength (MPa),Electrical Resistivity (Ω·m)
8,1.7232817372204796,0.42% FeO/PA 8
10,1.684566097596499,0.42% FeO/PA 8
12,1.6582563572391678,0.42% FeO/PA 8
19,1.6357072109924653,0.42% FeO/PA 8
8,-6.879962269011925,0.73% FeO/PA 8
10,-6.925576549155391,0.73% FeO/PA 8
12,-6.946842970887233,0.73% FeO/PA 8
19,-6.971153846626248,0.73% FeO/PA 8
8,-1.4010284380510953,0.2% FeO/PA 8
10,-1.5367833838700782,0.2% FeO/PA 8
12,-1.5624539855791109,0.2% FeO/PA 8
19,-1.748523434022987,0.2% FeO/PA 8
8,1.1541384193843702,0.18% FeO/PA 8
10,1.105569452853853,0.18% FeO/PA 8
12,1.0806274581068123,0.18% FeO/PA 8
19,1.0566751626143274,0.18% FeO/PA 8
