Rotational Speed (rpm),Galvanic Potential (V)
1,5.551462151122416,0.89% graphene nanoplatelets/Poly(tetrafluoroethylene)
10,4.858427070347476,0.89% graphene nanoplatelets/Poly(tetrafluoroethylene)
12,4.834782235435715,0.89% graphene nanoplatelets/Poly(tetrafluoroethylene)
14,4.823398537351201,0.89% graphene nanoplatelets/Poly(tetrafluoroethylene)
18,4.812827949721103,0.89% graphene nanoplatelets/Poly(tetrafluoroethylene)
1,-1.1367218375861674,0.99% graphene nanoplatelets/Poly(tetrafluoroethylene)
10,-2.0799196381025884,0.99% graphene nanoplatelets/Poly(tetrafluoroethylene)
12,-0.8812936105713094,0.99% graphene nanoplatelets/Poly(tetrafluoroethylene)
14,6.6408145644156065,0.99% graphene nanoplatelets/Poly(tetrafluoroethylene)
18,-3.648573319574778,0.99% graphene nanoplatelets/Poly(tetrafluoroethylene)
