Pore Size (nm),Crystallization Temperature (°C)
3,6.508855670667499,0.98% MWCNT/triglycidyl para-aminophenol
10,17.161431930335603,0.98% MWCNT/triglycidyl para-aminophenol
13,67.08587141831399,0.98% MWCNT/triglycidyl para-aminophenol
15,8.711318268624325,0.98% MWCNT/triglycidyl para-aminophenol
16,75.86127481508015,0.98% MWCNT/triglycidyl para-aminophenol
3,-2.1534533591692973,0.94% MWCNT/triglycidyl para-aminophenol
10,-2.3952630540472764,0.94% MWCNT/triglycidyl para-aminophenol
13,-2.4966563719502823,0.94% MWCNT/triglycidyl para-aminophenol
15,-2.5539478628401073,0.94% MWCNT/triglycidyl para-aminophenol
16,-2.5692124930812823,0.94% MWCNT/triglycidyl para-aminophenol
3,8.27332104165136,0.63% MWCNT/triglycidyl para-aminophenol
10,36.30029897997791,0.63% MWCNT/triglycidyl para-aminophenol
13,102.76613635793146,0.63% MWCNT/triglycidyl para-aminophenol
15,133.38521299118693,0.63% MWCNT/triglycidyl para-aminophenol
16,63.55300869066123,0.63% MWCNT/triglycidyl para-aminophenol
3,-2.6614271322253935,0.19% MWCNT/triglycidyl para-aminophenol
10,-2.975071551547188,0.19% MWCNT/triglycidyl para-aminophenol
13,-3.0818764238965857,0.19% MWCNT/triglycidyl para-aminophenol
15,-3.1285397789131895,0.19% MWCNT/triglycidyl para-aminophenol
16,-3.14459435434136,0.19% MWCNT/triglycidyl para-aminophenol
