Mixing Time (min),Loss Factor
5,5.699058779041199,CCTO/BXZ
6,6.203101951241085,CCTO/BXZ
12,4.979726210472712,CCTO/BXZ
13,13.369817219948752,CCTO/BXZ
16,14.876314002684081,CCTO/BXZ
5,-3.346248516090444,OMLS/BXZ
6,-4.174497307649935,OMLS/BXZ
12,1.076742827493133,OMLS/BXZ
13,1.356392313606877,OMLS/BXZ
16,-6.588346077624159,OMLS/BXZ
5,7.346955754955956,Single-wall carbon nanotubes/BXZ
6,7.296603858686957,Single-wall carbon nanotubes/BXZ
12,7.095878658450736,Single-wall carbon nanotubes/BXZ
13,7.070550955600963,Single-wall carbon nanotubes/BXZ
16,6.985925840873816,Single-wall carbon nanotubes/BXZ
5,6.646136658587194,multi-walled CNT/BXZ
6,8.223255236141215,multi-walled CNT/BXZ
12,10.529862905856067,multi-walled CNT/BXZ
13,3.173496146784715,multi-walled CNT/BXZ
16,4.812475383750439,multi-walled CNT/BXZ
