Evaporation Temperature (°C),Passivation Current Density (A/m²)
0,0.3661731347967202,ZrO2/FKM
4,0.40386714882740715,ZrO2/FKM
9,0.08096519061178686,ZrO2/FKM
0,4.012638536326211,HAF/FKM
4,7.405633851746253,HAF/FKM
9,20.682883040341032,HAF/FKM
0,-3.4587029037443813,Calcium carbonate/FKM
4,-2.095641582068725,Calcium carbonate/FKM
9,11.796856468190287,Calcium carbonate/FKM
0,4.334839216995799,Na2TiO3/FKM
4,6.63049764531308,Na2TiO3/FKM
9,18.121806623771313,Na2TiO3/FKM
0,8.367520813611174,exfoliated graphite/FKM
4,7.6097173758260315,exfoliated graphite/FKM
9,7.354759759490528,exfoliated graphite/FKM
