Curing Temperature (°C),Specific Heat (J/(g·K))
0.1790045573041188,-6.035018979271539,PEA
1.5683215010031382,-5.890333389825214,PEA
4.226776244359121,-6.120661657133018,PEA
7.309732013472498,-6.492243272823534,PEA
7.930526547880438,-6.517033576260031,PEA
0.1790045573041188,8.159140295631165,Poly(styrene-co-acrylonitrile)
1.5683215010031382,7.398911354321639,Poly(styrene-co-acrylonitrile)
4.226776244359121,8.17642620622195,Poly(styrene-co-acrylonitrile)
7.309732013472498,8.602504254765927,Poly(styrene-co-acrylonitrile)
7.930526547880438,8.729114919407749,Poly(styrene-co-acrylonitrile)
0.1790045573041188,7.772871901106426,DGEBA Epoxy Resin
1.5683215010031382,7.570895775310602,DGEBA Epoxy Resin
4.226776244359121,7.593664754036802,DGEBA Epoxy Resin
7.309732013472498,7.343338766113778,DGEBA Epoxy Resin
7.930526547880438,7.273311812091381,DGEBA Epoxy Resin
0.1790045573041188,-2.964126408674294,E-SBR
1.5683215010031382,-3.133263482852039,E-SBR
4.226776244359121,-3.6256740061664625,E-SBR
7.309732013472498,-3.710214568921507,E-SBR
7.930526547880438,-3.7443127512282075,E-SBR
0.1790045573041188,1.9518395156449027,Nylon 6-6
1.5683215010031382,1.9257458642504337,Nylon 6-6
4.226776244359121,2.0155263353263955,Nylon 6-6
7.309732013472498,3.816771347491017,Nylon 6-6
7.930526547880438,4.650248167720978,Nylon 6-6
