Ion Beam Dose (Gy),Magnetic Permeability (H/m)
10,20.421504951559797,Fluoroelastomer
16,-121.24690540618269,Fluoroelastomer
18,492.9535255066729,Fluoroelastomer
10,-6.54078236820625,Polybutylene succinate
16,-6.66979461332088,Polybutylene succinate
18,-6.704971519218762,Polybutylene succinate
10,6.511853822570543,P(Baph)
16,6.466536230132991,P(Baph)
18,6.462695454397955,P(Baph)
10,-0.32803389043871967,Polyimide
16,8.610366998448823,Polyimide
18,-5.1156146119272075,Polyimide
10,11.742726456895031,DGEBD
16,7.423296904851126,DGEBD
18,9.722944784138308,DGEBD
