Reaction Temperature (°C),Corrosion Rate (mm/year)
0.5475445118975042,-3.148260478398077,0.31% Calcium copper titanate
12.389022803740584,-3.908157448340459,0.31% Calcium copper titanate
13.806624279959468,-3.8869595966374915,0.31% Calcium copper titanate
19.1451292381727,-4.026851504912244,0.31% Calcium copper titanate
0.5475445118975042,-4.616813819311419,0.14% Calcium copper titanate
12.389022803740584,-5.392353329357031,0.14% Calcium copper titanate
13.806624279959468,-5.402175835890118,0.14% Calcium copper titanate
19.1451292381727,-5.41323199281462,0.14% Calcium copper titanate
0.5475445118975042,4.365532929554733,0.74% Calcium copper titanate
12.389022803740584,4.07953504420408,0.74% Calcium copper titanate
13.806624279959468,4.0536769398890184,0.74% Calcium copper titanate
19.1451292381727,3.9253236719346094,0.74% Calcium copper titanate
