Polymer Molecular Weight (g/mol),Bond Strength (MPa)
1.1273523684967612,-0.6419724300625942,0.37% Graphite Nanoplatelets
3.057912086936687,-0.15127308111176374,0.37% Graphite Nanoplatelets
4.84748091740721,2.336506967355491,0.37% Graphite Nanoplatelets
14.273465062330693,14.91627024672132,0.37% Graphite Nanoplatelets
16.334416406957118,275.4199510757009,0.37% Graphite Nanoplatelets
1.1273523684967612,-5.156402203859312,0.11% Graphite Nanoplatelets
3.057912086936687,-5.207665393334845,0.11% Graphite Nanoplatelets
4.84748091740721,-5.2833725186406575,0.11% Graphite Nanoplatelets
14.273465062330693,-5.620668978300526,0.11% Graphite Nanoplatelets
16.334416406957118,-5.681086246471199,0.11% Graphite Nanoplatelets
1.1273523684967612,-2.9125157571675357,0.48% Graphite Nanoplatelets
3.057912086936687,-2.9071357744301185,0.48% Graphite Nanoplatelets
4.84748091740721,-2.1154384522675964,0.48% Graphite Nanoplatelets
14.273465062330693,1.5038065979008728,0.48% Graphite Nanoplatelets
16.334416406957118,-2.7457375698856765,0.48% Graphite Nanoplatelets
1.1273523684967612,-0.08556690003487599,0.46% Graphite Nanoplatelets
3.057912086936687,-0.201613248647877,0.46% Graphite Nanoplatelets
4.84748091740721,0.6003200808720603,0.46% Graphite Nanoplatelets
14.273465062330693,2.3741439750122337,0.46% Graphite Nanoplatelets
16.334416406957118,6.724391181299229,0.46% Graphite Nanoplatelets
