Curing Time (min),Magnetization (A/m)
2.831789180873534,-2.4773749800132414,0.59% Cellulose
6.821060604242806,-1.6914083892965772,0.59% Cellulose
9.541344820923175,0.10147442710335142,0.59% Cellulose
13.154622510939486,0.12399680191976348,0.59% Cellulose
2.831789180873534,-2.9168114433109773,0.15% Cellulose
6.821060604242806,-1.6136402337217541,0.15% Cellulose
9.541344820923175,3.714571400021745,0.15% Cellulose
13.154622510939486,38.26083998317809,0.15% Cellulose
2.831789180873534,-6.857154250627155,0.19% Cellulose
6.821060604242806,-7.3465497124594235,0.19% Cellulose
9.541344820923175,-7.367955418759243,0.19% Cellulose
13.154622510939486,-7.514517454760329,0.19% Cellulose
