Time (s),Glass Transition Temperature (°C)
0.4978671259011547,8.49315020239777,EVA
3.9756935046766695,8.24621197970022,EVA
6.398713557840166,8.101835626831406,EVA
12.425491929511608,7.980526203857964,EVA
15.69220032032417,7.96742147062815,EVA
16.351616750226178,7.965883600022188,EVA
0.4978671259011547,-3.68062247659307,PMMA-PnBA
3.9756935046766695,-2.9008109413646066,PMMA-PnBA
6.398713557840166,0.26817046759745633,PMMA-PnBA
12.425491929511608,52.80526858728362,PMMA-PnBA
15.69220032032417,221.4498073084918,PMMA-PnBA
16.351616750226178,344.3300476657809,PMMA-PnBA
0.4978671259011547,-3.7447414079651846,P(VDF-TrFE)
3.9756935046766695,-3.8690878588515063,P(VDF-TrFE)
6.398713557840166,-3.8968078081014035,P(VDF-TrFE)
12.425491929511608,-4.101342532148267,P(VDF-TrFE)
15.69220032032417,-4.207683718490457,P(VDF-TrFE)
16.351616750226178,-4.219245109294583,P(VDF-TrFE)
0.4978671259011547,0.8440056561704499,Poly(vinyl chloride)
3.9756935046766695,0.14512669634498782,Poly(vinyl chloride)
6.398713557840166,0.02596241458418294,Poly(vinyl chloride)
12.425491929511608,-0.11600578056101155,Poly(vinyl chloride)
15.69220032032417,-0.13142266122300839,Poly(vinyl chloride)
16.351616750226178,-0.13368858767789882,Poly(vinyl chloride)
0.4978671259011547,5.722762370068059,Poly(ethyl methacrylate)
3.9756935046766695,5.317690016692301,Poly(ethyl methacrylate)
6.398713557840166,5.169348772776899,Poly(ethyl methacrylate)
12.425491929511608,4.844199922389425,Poly(ethyl methacrylate)
15.69220032032417,4.72861591831547,Poly(ethyl methacrylate)
16.351616750226178,4.73185215647501,Poly(ethyl methacrylate)
