Drying Temperature (°C),Flexural Strength (MPa)
6.08236944490754,2.968045472591956,
8.115518895287739,2.8501868312222407,
9.78042945731582,2.753678809127478,
11.170180330637113,2.7165122561327038,
14.072621615948401,2.648032015199947,
6,15.802117413758188,
7,11.034353091200924,
15,47.658886218444366,
17,269.6288378663186,
19,553.2071486303131,
1,3.5362983692521945,
10,4.287710915331166,
13,5.1539527109512875,
14,5.62479009437619,
15,8.32686866867692,
6,5.6670207608307175,
9,5.364812771044628,
16,5.141984048905491,
18,5.090330063221187,
19,5.092004573295483,
0.4010310853571708,5.473586347296622,
1.9031077735418878,5.094073142779537,
6.486026570262588,4.800377254304522,
11.912625069790973,4.665236453549053,
11.937821084384868,4.6658774658215645,
