pH,Elastic Modulus (GPa)
3.840470062497705,-4.1595644696946605,0.27% TiO2/Poly(caprolactone)
5.736852086823743,-4.371731980876939,0.27% TiO2/Poly(caprolactone)
12.292999824689552,-4.481342276626389,0.27% TiO2/Poly(caprolactone)
13.139038505555432,-4.487096695011226,0.27% TiO2/Poly(caprolactone)
3.840470062497705,-2.9074528830472754,0.91% TiO2/Poly(caprolactone)
5.736852086823743,-2.9100632602765932,0.91% TiO2/Poly(caprolactone)
12.292999824689552,-3.1649067524559933,0.91% TiO2/Poly(caprolactone)
13.139038505555432,-3.2083711245636337,0.91% TiO2/Poly(caprolactone)
3.840470062497705,5.470795561557371,0.42% TiO2/Poly(caprolactone)
5.736852086823743,6.323533047714018,0.42% TiO2/Poly(caprolactone)
12.292999824689552,7.7365533776428395,0.42% TiO2/Poly(caprolactone)
13.139038505555432,8.975565755749045,0.42% TiO2/Poly(caprolactone)
