Reaction Time (h),Compression Strength (MPa)
2.944982308314008,7.030418634986168,0.3% Na2TiO3/PMA
8.483492288373595,19.91434518131313,0.3% Na2TiO3/PMA
12.654869160030419,58.83326255197389,0.3% Na2TiO3/PMA
17.699409969622774,-194.4089779161162,0.3% Na2TiO3/PMA
19.874218132100964,-213.94631325522022,0.3% Na2TiO3/PMA
2.944982308314008,-2.331849799518894,0.64% Na2TiO3/PMA
8.483492288373595,9.58389867943206,0.64% Na2TiO3/PMA
12.654869160030419,95.59379942205402,0.64% Na2TiO3/PMA
17.699409969622774,-32.40653775392752,0.64% Na2TiO3/PMA
19.874218132100964,1119.6784747111337,0.64% Na2TiO3/PMA
2.944982308314008,1.3419305546870932,0.26% Na2TiO3/PMA
8.483492288373595,12.985797379802843,0.26% Na2TiO3/PMA
12.654869160030419,88.44752364504981,0.26% Na2TiO3/PMA
17.699409969622774,-59.52295992630695,0.26% Na2TiO3/PMA
19.874218132100964,510.6000723883012,0.26% Na2TiO3/PMA
2.944982308314008,4.0849804984594025,0.88% Na2TiO3/PMA
8.483492288373595,3.757333269678181,0.88% Na2TiO3/PMA
12.654869160030419,3.6977122908206406,0.88% Na2TiO3/PMA
17.699409969622774,3.678692825905917,0.88% Na2TiO3/PMA
19.874218132100964,3.676173565575578,0.88% Na2TiO3/PMA
