Drying Temperature (°C),Electrochemical Potential (V)
6,-0.7248211681411479,0.93% Ba0.7Sr0.3TiO3/Nylon 6
7,-0.9061882210430694,0.93% Ba0.7Sr0.3TiO3/Nylon 6
9,-0.9888834856349831,0.93% Ba0.7Sr0.3TiO3/Nylon 6
15,-1.183624604733726,0.93% Ba0.7Sr0.3TiO3/Nylon 6
6,3.6458377447419315,1.0% Ba0.7Sr0.3TiO3/Nylon 6
7,3.5503958476732853,1.0% Ba0.7Sr0.3TiO3/Nylon 6
9,3.533837286578801,1.0% Ba0.7Sr0.3TiO3/Nylon 6
15,3.351926076577245,1.0% Ba0.7Sr0.3TiO3/Nylon 6
6,-0.14161770350288805,0.38% Ba0.7Sr0.3TiO3/Nylon 6
7,-0.165121424505546,0.38% Ba0.7Sr0.3TiO3/Nylon 6
9,-0.26248248213998815,0.38% Ba0.7Sr0.3TiO3/Nylon 6
15,-0.4445542874347143,0.38% Ba0.7Sr0.3TiO3/Nylon 6
6,7.7191674777569546,0.07% Ba0.7Sr0.3TiO3/Nylon 6
7,7.987575914951448,0.07% Ba0.7Sr0.3TiO3/Nylon 6
9,9.812894687030884,0.07% Ba0.7Sr0.3TiO3/Nylon 6
15,9.544449101487144,0.07% Ba0.7Sr0.3TiO3/Nylon 6
