Crosslinking Density (mol/m³),Magnetic Anisotropy (J/m³)
4.841373137124809,-0.8144524475559322,0.44% PAN/Nylon 66
5.96624289943684,-0.8884198236519794,0.44% PAN/Nylon 66
7.010376248324257,-0.9234776329537588,0.44% PAN/Nylon 66
7.747325194553989,-0.9436148427733573,0.44% PAN/Nylon 66
10.979041874102363,-1.009901757120785,0.44% PAN/Nylon 66
15.851327486784161,-1.0384895665871852,0.44% PAN/Nylon 66
4.841373137124809,5.747028520088848,0.39% PAN/Nylon 66
5.96624289943684,8.711823891527555,0.39% PAN/Nylon 66
7.010376248324257,4.357410252886453,0.39% PAN/Nylon 66
7.747325194553989,14.02869991949885,0.39% PAN/Nylon 66
10.979041874102363,15.858621710609498,0.39% PAN/Nylon 66
15.851327486784161,153.302826563447,0.39% PAN/Nylon 66
4.841373137124809,9.667468555091254,0.13% PAN/Nylon 66
5.96624289943684,8.200513202203037,0.13% PAN/Nylon 66
7.010376248324257,12.83964929124861,0.13% PAN/Nylon 66
7.747325194553989,13.511363830015185,0.13% PAN/Nylon 66
10.979041874102363,26.009933920193127,0.13% PAN/Nylon 66
15.851327486784161,63.172417642514176,0.13% PAN/Nylon 66
