Drying Time (h),Reduction Potential (V)
7.2264261596124495,-0.44947469296693626,0.0% MWNTs/Poly(butyl acrylate)
12.954005367862298,-0.6046331123575868,0.0% MWNTs/Poly(butyl acrylate)
14.271902425632796,-0.6573772864802362,0.0% MWNTs/Poly(butyl acrylate)
14.685216026273602,-0.6397096410628694,0.0% MWNTs/Poly(butyl acrylate)
18.720019093695313,-0.7264177521578143,0.0% MWNTs/Poly(butyl acrylate)
19.088174196955023,-0.72647285692429,0.0% MWNTs/Poly(butyl acrylate)
7.2264261596124495,5.019184088326109,0.96% MWNTs/Poly(butyl acrylate)
12.954005367862298,4.766242494177618,0.96% MWNTs/Poly(butyl acrylate)
14.271902425632796,4.6980701052143425,0.96% MWNTs/Poly(butyl acrylate)
14.685216026273602,4.715720317508493,0.96% MWNTs/Poly(butyl acrylate)
18.720019093695313,4.619940210381548,0.96% MWNTs/Poly(butyl acrylate)
19.088174196955023,4.61978687280513,0.96% MWNTs/Poly(butyl acrylate)
7.2264261596124495,0.2573884641281889,0.58% MWNTs/Poly(butyl acrylate)
12.954005367862298,0.14484591587909673,0.58% MWNTs/Poly(butyl acrylate)
14.271902425632796,0.1376145427865836,0.58% MWNTs/Poly(butyl acrylate)
14.685216026273602,0.13584239183202523,0.58% MWNTs/Poly(butyl acrylate)
18.720019093695313,0.12745981830269265,0.58% MWNTs/Poly(butyl acrylate)
19.088174196955023,0.1270647186255748,0.58% MWNTs/Poly(butyl acrylate)
7.2264261596124495,-2.3978621838738263,0.44% MWNTs/Poly(butyl acrylate)
12.954005367862298,-2.478992883774923,0.44% MWNTs/Poly(butyl acrylate)
14.271902425632796,-2.4844684470692435,0.44% MWNTs/Poly(butyl acrylate)
14.685216026273602,-2.4854915865013822,0.44% MWNTs/Poly(butyl acrylate)
18.720019093695313,-2.49451808445548,0.44% MWNTs/Poly(butyl acrylate)
19.088174196955023,-2.495066071946844,0.44% MWNTs/Poly(butyl acrylate)
