Incubation Temperature (°C),Magnetic Susceptibility
0,-2.8724019454808265,ABS
2,-1.2848025538057977,ABS
3,-2.690116297859391,ABS
4,0.08976338072368684,ABS
6,0.681390052854578,ABS
17,279.25427531798863,ABS
0,5.988527011004133,FKM
2,5.751294986206341,FKM
3,5.683820377858063,FKM
4,5.609679231205468,FKM
6,5.384712021310728,FKM
17,5.240335327047766,FKM
0,7.134030261116601,PETP
2,6.398755395809306,PETP
3,6.092746916027999,PETP
4,6.228621270664922,PETP
6,5.953440241733062,PETP
17,5.777074271423116,PETP
0,7.136817392660765,aPP
2,7.691750853206057,aPP
3,7.541063520962897,aPP
4,7.815287128606153,aPP
6,6.95217540316254,aPP
17,14.247317514570318,aPP
0,7.102146410027321,BXZ
2,7.565446163827775,BXZ
3,8.342509802284722,BXZ
4,9.776466773156976,BXZ
6,10.020994538163432,BXZ
17,13.391981263351777,BXZ
