Thickness (µm),Oxidation Potential (V)
1,8.747297682029211,Bisphenol E cyanate ester resin
3,9.039708143662361,Bisphenol E cyanate ester resin
4,10.169011485269378,Bisphenol E cyanate ester resin
8,8.815894386245617,Bisphenol E cyanate ester resin
14,13.005705415323806,Bisphenol E cyanate ester resin
1,-5.471623442076535,PBT
3,-5.670545843771814,PBT
4,-5.742203063487466,PBT
8,-5.280152103359967,PBT
14,-4.31867042694933,PBT
1,5.914794971895278,Polylactic acid
3,5.579773965608954,Polylactic acid
4,5.402517703992794,Polylactic acid
8,5.22569866683049,Polylactic acid
14,5.149536630966705,Polylactic acid
