Heat Treatment Temperature (°C),Flexural Modulus (GPa)
0.4756145631872766,-1.81626471003103,0.11% barium titanate
6.745974854872189,-2.561753616222444,0.11% barium titanate
11.452893048739208,-2.6497933491461616,0.11% barium titanate
14.092936726758332,-2.6669309369769976,0.11% barium titanate
18.21825413367799,-2.6778511490306176,0.11% barium titanate
0.4756145631872766,-4.316901387425,0.2% barium titanate
6.745974854872189,-4.668241138004533,0.2% barium titanate
11.452893048739208,-4.92431939073847,0.2% barium titanate
14.092936726758332,-4.965918457278605,0.2% barium titanate
18.21825413367799,-5.058559650168678,0.2% barium titanate
0.4756145631872766,6.382878796377807,0.75% barium titanate
6.745974854872189,5.7525907601952175,0.75% barium titanate
11.452893048739208,5.724342579823307,0.75% barium titanate
14.092936726758332,5.663877630787652,0.75% barium titanate
18.21825413367799,5.593319607386189,0.75% barium titanate
