Drying Time (h),Impact Strength (kJ/m²)
1.1124865434895614,4.7145909252804135,0.94% nanosilica/Poly(tetrafluoroethylene)
3.0297127413485114,4.40738381477031,0.94% nanosilica/Poly(tetrafluoroethylene)
4.956926666581976,4.34171049717318,0.94% nanosilica/Poly(tetrafluoroethylene)
8.738364270617362,4.138833555723115,0.94% nanosilica/Poly(tetrafluoroethylene)
1.1124865434895614,0.29220122450907504,0.96% nanosilica/Poly(tetrafluoroethylene)
3.0297127413485114,-0.21167279828034768,0.96% nanosilica/Poly(tetrafluoroethylene)
4.956926666581976,-0.26111100493697237,0.96% nanosilica/Poly(tetrafluoroethylene)
8.738364270617362,-0.35355981256557223,0.96% nanosilica/Poly(tetrafluoroethylene)
1.1124865434895614,7.464069109636785,0.9% nanosilica/Poly(tetrafluoroethylene)
3.0297127413485114,8.148244720190258,0.9% nanosilica/Poly(tetrafluoroethylene)
4.956926666581976,7.299522028650392,0.9% nanosilica/Poly(tetrafluoroethylene)
8.738364270617362,6.29410415988877,0.9% nanosilica/Poly(tetrafluoroethylene)
1.1124865434895614,6.586480025032495,0.94% nanosilica/Poly(tetrafluoroethylene)
3.0297127413485114,7.128181476434394,0.94% nanosilica/Poly(tetrafluoroethylene)
4.956926666581976,7.36434038035342,0.94% nanosilica/Poly(tetrafluoroethylene)
8.738364270617362,7.931790584742378,0.94% nanosilica/Poly(tetrafluoroethylene)
