Shear Rate (1/s),Coefficient Of Thermal Expansion (1/K)
7.514512873826799,4.9321533131286825,0.8% silica gel
8.452642321985074,16.60849875614375,0.8% silica gel
11.634148473852871,54.35590035873674,0.8% silica gel
15.09217134855141,58.91686734483082,0.8% silica gel
7.514512873826799,-0.22108099940679182,0.48% silica gel
8.452642321985074,-0.20881073173616221,0.48% silica gel
11.634148473852871,-0.40742035464322535,0.48% silica gel
15.09217134855141,-0.4781559265686244,0.48% silica gel
7.514512873826799,-6.530732576718757,1.0% silica gel
8.452642321985074,-3.3725594195061355,1.0% silica gel
11.634148473852871,-8.01003807092173,1.0% silica gel
15.09217134855141,-4.743053246762247,1.0% silica gel
7.514512873826799,10.140315060580672,0.12% silica gel
8.452642321985074,8.864583230337555,0.12% silica gel
11.634148473852871,16.161340222201645,0.12% silica gel
15.09217134855141,116.79261038004307,0.12% silica gel
7.514512873826799,-2.880707518484488,0.36% silica gel
8.452642321985074,-2.9147159033230565,0.36% silica gel
11.634148473852871,-2.963369536200573,0.36% silica gel
15.09217134855141,-2.9806399262160874,0.36% silica gel
