Crystallization Temperature (°C),Fatigue Strength (MPa)
0.8579510398281842,-3.4912966953265956,Aluminium dioxide/PVA
8.604200758259815,-4.216674861230083,Aluminium dioxide/PVA
8.634261278387667,-4.204181115964437,Aluminium dioxide/PVA
10.680812101744364,-4.242914125515017,Aluminium dioxide/PVA
11.377703522933015,-4.25297482226427,Aluminium dioxide/PVA
12.083699997044594,-4.2580486155814485,Aluminium dioxide/PVA
15.318523961541535,-4.275212563039945,Aluminium dioxide/PVA
1.584065244096673,-2.1947757730198747,Carbon nanofibers/PVA
6.431701024150489,6.970220028159689,Carbon nanofibers/PVA
9.390024082001087,10.862785178036539,Carbon nanofibers/PVA
10.060125491511464,14.11968617640419,Carbon nanofibers/PVA
10.280380929237039,24.748245176703787,Carbon nanofibers/PVA
11.281803298121034,4.249833817115103,Carbon nanofibers/PVA
12.391901417836866,70.0041532022844,Carbon nanofibers/PVA
3,0.7721355053310794,CaCO3/PVA
4,0.7061636019889721,CaCO3/PVA
8,0.5110092349618245,CaCO3/PVA
10,0.4779826046581545,CaCO3/PVA
12,0.45470297569864127,CaCO3/PVA
16,0.43290063362015757,CaCO3/PVA
17,0.4312233856808711,CaCO3/PVA
0,-0.049722944545324,Bentonite clay/PVA
3,1.4883668836030344,Bentonite clay/PVA
7,7.722763274146905,Bentonite clay/PVA
8,11.376804350575027,Bentonite clay/PVA
9,13.34093111012926,Bentonite clay/PVA
13,117.02459061344251,Bentonite clay/PVA
17,235.11847933128763,Bentonite clay/PVA
0,4.628320742338519,SAF/PVA
8,8.426416545947724,SAF/PVA
10,13.793525458235475,SAF/PVA
13,40.64655200109195,SAF/PVA
15,106.32199586452948,SAF/PVA
18,312.5468085566848,SAF/PVA
19,6.3371194608559165,SAF/PVA
