Neutron Flux (n/cm²/s),Coercivity (A/m)
1.4622723877744859,5.332480074316378,C.I. Pigment Black 6/Thermoplastic polyurethane
1.9717372759946739,5.180150967590643,C.I. Pigment Black 6/Thermoplastic polyurethane
4.898510967726715,4.8945947974327675,C.I. Pigment Black 6/Thermoplastic polyurethane
8.955293716387455,4.7620001108138785,C.I. Pigment Black 6/Thermoplastic polyurethane
13.18295317570299,4.710164265309154,C.I. Pigment Black 6/Thermoplastic polyurethane
1.4622723877744859,4.8707985692287625,cellulose nanowhiskers/Thermoplastic polyurethane
1.9717372759946739,5.158470990819446,cellulose nanowhiskers/Thermoplastic polyurethane
4.898510967726715,4.885880593349712,cellulose nanowhiskers/Thermoplastic polyurethane
8.955293716387455,4.595104956163812,cellulose nanowhiskers/Thermoplastic polyurethane
13.18295317570299,4.516640062668852,cellulose nanowhiskers/Thermoplastic polyurethane
1.4622723877744859,6.493468798428744,nanosilica/Thermoplastic polyurethane
1.9717372759946739,6.204396030023059,nanosilica/Thermoplastic polyurethane
4.898510967726715,6.022100175832751,nanosilica/Thermoplastic polyurethane
8.955293716387455,5.843608621234294,nanosilica/Thermoplastic polyurethane
13.18295317570299,5.796605002733292,nanosilica/Thermoplastic polyurethane
