Holding Time (min),Corrosion Rate (mm/year)
0.16303254906035347,-1.779835896122149,CCTO ceramics/PBA-a
1.0159776246567431,-1.496359085648032,CCTO ceramics/PBA-a
3.32689194501093,-1.5512427840018361,CCTO ceramics/PBA-a
5.976588846071989,-1.794317975668268,CCTO ceramics/PBA-a
5.995079686289932,-1.731699887781626,CCTO ceramics/PBA-a
0.16303254906035347,3.97918673997389,Synthetic fluorine mica/PBA-a
1.0159776246567431,3.9483355571706857,Synthetic fluorine mica/PBA-a
3.32689194501093,3.967122876592788,Synthetic fluorine mica/PBA-a
5.976588846071989,6.240347059036608,Synthetic fluorine mica/PBA-a
5.995079686289932,6.154967761676262,Synthetic fluorine mica/PBA-a
0.16303254906035347,-0.5420075284381398,Reduced graphene oxide/PBA-a
1.0159776246567431,-0.7938561964370479,Reduced graphene oxide/PBA-a
3.32689194501093,-1.0820470481517603,Reduced graphene oxide/PBA-a
5.976588846071989,-1.2272921722136543,Reduced graphene oxide/PBA-a
5.995079686289932,-1.2150190834895165,Reduced graphene oxide/PBA-a
