Coefficient Of Thermal Expansion (1/K),Fatigue Strength (MPa)
1,6.279117262761572,Magnesium oxide/poly-HEMA
6,12.114454013533976,Magnesium oxide/poly-HEMA
13,54.29548855503667,Magnesium oxide/poly-HEMA
15,16.42760533904108,Magnesium oxide/poly-HEMA
1,-6.681314537494047,CuPP/poly-HEMA
6,-7.224190471410476,CuPP/poly-HEMA
13,-7.451542719463431,CuPP/poly-HEMA
15,-7.494855650853805,CuPP/poly-HEMA
1,5.249601220268568,Zinc oxide/poly-HEMA
6,5.862588523241668,Zinc oxide/poly-HEMA
13,53.39349954834189,Zinc oxide/poly-HEMA
15,122.34639700031032,Zinc oxide/poly-HEMA
1,-0.08581364913215794,exfoliated graphene/poly-HEMA
6,9.052146653759394,exfoliated graphene/poly-HEMA
13,31.888442577195114,exfoliated graphene/poly-HEMA
15,-92.41865259949766,exfoliated graphene/poly-HEMA
