Drying Time (h),Degradation Temperature (°C)
8.344383070121486,6.038333479860626,0.93% Fullerene
14.743261982920222,78.3802096007401,0.93% Fullerene
17.326096421824673,353.53366517565144,0.93% Fullerene
8.344383070121486,8.860537224714951,0.08% Fullerene
14.743261982920222,111.88170215000157,0.08% Fullerene
17.326096421824673,65.99672893363622,0.08% Fullerene
8.344383070121486,7.535141925485611,0.22% Fullerene
14.743261982920222,7.471432614982456,0.22% Fullerene
17.326096421824673,7.465288592172666,0.22% Fullerene
8.344383070121486,4.868368965936929,0.29% Fullerene
14.743261982920222,4.780995056541877,0.29% Fullerene
17.326096421824673,4.7748284949674735,0.29% Fullerene
