Pressure (Pa),Flexural Modulus (GPa)
10,35.52938638162748,0.15% Zinc Oxide
12,56.2103674200237,0.15% Zinc Oxide
17,93.42976092287465,0.15% Zinc Oxide
10,23.210392260267632,0.81% Zinc Oxide
12,61.28404721254454,0.81% Zinc Oxide
17,428.62041904481293,0.81% Zinc Oxide
10,7.44701334906927,0.67% Zinc Oxide
12,80.16779218666427,0.67% Zinc Oxide
17,180.61182333863542,0.67% Zinc Oxide
10,5.047668013512531,0.91% Zinc Oxide
12,4.969086783836393,0.91% Zinc Oxide
17,4.853050074727041,0.91% Zinc Oxide
