Exposure Time (h),Magnetization (A/m)
3,1.8085037364767171,0.16% CaCu3Ti4O12/PAI
4,1.7066729013574289,0.16% CaCu3Ti4O12/PAI
6,1.5345532839473373,0.16% CaCu3Ti4O12/PAI
7,1.5080402263975945,0.16% CaCu3Ti4O12/PAI
11,1.4314364220259428,0.16% CaCu3Ti4O12/PAI
12,1.418009990353991,0.16% CaCu3Ti4O12/PAI
15,1.4011804582303846,0.16% CaCu3Ti4O12/PAI
1.8275092335367038,-1.4866484965222482,0.22% CaCu3Ti4O12/PAI
7.904584654680695,-1.9928706545024022,0.22% CaCu3Ti4O12/PAI
9.911790914896283,-2.0517810001138788,0.22% CaCu3Ti4O12/PAI
10.41756577660343,-2.060553049725621,0.22% CaCu3Ti4O12/PAI
12.079619003516633,-2.077086633457742,0.22% CaCu3Ti4O12/PAI
14.3159633080181,-2.0882889891607603,0.22% CaCu3Ti4O12/PAI
18.92275575855641,-2.1000159649678287,0.22% CaCu3Ti4O12/PAI
1,-0.794774817097978,0.33% CaCu3Ti4O12/PAI
5,-1.2763614003288954,0.33% CaCu3Ti4O12/PAI
9,-1.3906926131310815,0.33% CaCu3Ti4O12/PAI
10,-1.4941035508206015,0.33% CaCu3Ti4O12/PAI
11,-1.4994663012280236,0.33% CaCu3Ti4O12/PAI
17,-1.6469537467063984,0.33% CaCu3Ti4O12/PAI
18,-1.6647946464067536,0.33% CaCu3Ti4O12/PAI
2.1587520692921514,2.8296007616445102,0.39% CaCu3Ti4O12/PAI
2.466194990044399,2.7726280515746247,0.39% CaCu3Ti4O12/PAI
2.571464297212991,1.9920432001661448,0.39% CaCu3Ti4O12/PAI
6.579860266584734,3.259767818839306,0.39% CaCu3Ti4O12/PAI
8.258154261206801,4.498919623193935,0.39% CaCu3Ti4O12/PAI
11.316363470313657,3.3024416398084524,0.39% CaCu3Ti4O12/PAI
12.960085698302418,-0.9975773145671698,0.39% CaCu3Ti4O12/PAI
