Surfactant Concentration (M),Polarization Resistance (Ω·m²)
8.650581348434718,-5.082041518565734,
15.261931039369507,-1.9397787254404015,
17.460560599101722,-2.0249979644965785,
8.650581348434718,-4.371592498972614,
15.261931039369507,-4.439123639368526,
17.460560599101722,-4.443576720153552,
8.650581348434718,10.69898299210554,
15.261931039369507,18.27850197220343,
17.460560599101722,19.810484865084426,
8.650581348434718,3.030639111785095,
15.261931039369507,2.8037657441729635,
17.460560599101722,2.759874625562674,
