Crystallization Temperature (°C),Modulus Of Elasticity (GPa)
4,1.8359819037182867,Sepiolite/PAI
12,1.5495838658418573,Sepiolite/PAI
14,1.5413138890783844,Sepiolite/PAI
13.524091213078204,-3.3162768374174303,CCTO/PAI
17.117998060087835,-3.388349811233954,CCTO/PAI
17.907042805614783,-3.3959018285489315,CCTO/PAI
1,-4.03903822695795,Ba0.7Sr0.3TiO3/PAI
4,-2.756512770943892,Ba0.7Sr0.3TiO3/PAI
16,-32.79641612900045,Ba0.7Sr0.3TiO3/PAI
3.6112852321814315,2.87423792212024,barium titanate/PAI
11.347232049851645,2.461029291669053,barium titanate/PAI
14.923996214495507,2.441359614633005,barium titanate/PAI
13,1.5853237635506152,Organophilic clay/PAI
16,1.5726416885521353,Organophilic clay/PAI
17,1.5708520057256914,Organophilic clay/PAI
