Crosslinking Density (mol/m³),Pore Volume (cm³/g)
3.4766369541008935,6.2442145927684525,0.64% Silicon dioxide/BXZ
3.7688134315601785,6.941009260823063,0.64% Silicon dioxide/BXZ
3.7837985629854165,6.284684504010473,0.64% Silicon dioxide/BXZ
10.241689732690649,7.933878137930382,0.64% Silicon dioxide/BXZ
10.314163102332595,4.945667326964777,0.64% Silicon dioxide/BXZ
13.341497264081301,6.237799026333249,0.64% Silicon dioxide/BXZ
3.4766369541008935,0.7855086408480101,0.3% Silicon dioxide/BXZ
3.7688134315601785,0.768339731977343,0.3% Silicon dioxide/BXZ
3.7837985629854165,0.6383580327859935,0.3% Silicon dioxide/BXZ
10.241689732690649,0.37253776571099584,0.3% Silicon dioxide/BXZ
10.314163102332595,0.3412669474797289,0.3% Silicon dioxide/BXZ
13.341497264081301,0.264912245990912,0.3% Silicon dioxide/BXZ
3.4766369541008935,0.5111174747621874,0.47% Silicon dioxide/BXZ
3.7688134315601785,-0.36349731955082776,0.47% Silicon dioxide/BXZ
3.7837985629854165,0.33130989087954443,0.47% Silicon dioxide/BXZ
10.241689732690649,3.841810018477384,0.47% Silicon dioxide/BXZ
10.314163102332595,25.550983738966718,0.47% Silicon dioxide/BXZ
13.341497264081301,24.532545063707232,0.47% Silicon dioxide/BXZ
