Gamma Radiation Dose (Gy),Compression Strength (MPa)
0.30369654920377354,-1.4699367294689694,graphene platelets/PVA
6.251858032682134,6.779770755302188,graphene platelets/PVA
6.499159355252537,3.496372236218992,graphene platelets/PVA
11.788682002975374,61.734136839970546,graphene platelets/PVA
11.809668359730912,29.823647797232066,graphene platelets/PVA
14.168958865345303,107.43395220932462,graphene platelets/PVA
16.91823489990529,-16.209007630110424,graphene platelets/PVA
0.6609368971274687,-4.850301814462353,Lamp black/PVA
3.014670296070694,-4.865794308483284,Lamp black/PVA
3.671880168289048,-5.157413073686865,Lamp black/PVA
4.5014429729271725,-4.8576890144294405,Lamp black/PVA
10.037974409189305,-5.24837681622866,Lamp black/PVA
18.567113610640703,-5.447901920271888,Lamp black/PVA
19.06081034965727,-5.452212890879187,Lamp black/PVA
0.8004017406868802,3.160662840447548,Fluorine mica/PVA
4.261138026453468,2.794915238763615,Fluorine mica/PVA
11.623736431447886,2.579824390256734,Fluorine mica/PVA
13.790767697758351,2.5661471995501635,Fluorine mica/PVA
15.852588509762962,2.5589239733326856,Fluorine mica/PVA
17.978352057864402,2.5551011296627277,Fluorine mica/PVA
18.992339701838933,2.5536871714572333,Fluorine mica/PVA
3,2.0048505695174157,sodium montmorillonite/PVA
4,1.855895019814061,sodium montmorillonite/PVA
7,1.7808836752036357,sodium montmorillonite/PVA
10,1.6104826436980748,sodium montmorillonite/PVA
13,1.5417728840328917,sodium montmorillonite/PVA
15,1.51247924138532,sodium montmorillonite/PVA
17,1.4861094593300899,sodium montmorillonite/PVA
0.7030470403022848,5.355731383513028,Carbon black/PVA
1.6127427618357637,5.984834406303442,Carbon black/PVA
3.433352573509616,7.948305952960078,Carbon black/PVA
6.560938739490824,5.023455327289951,Carbon black/PVA
8.647936484326149,12.140423750613394,Carbon black/PVA
12.842698820652387,34.769907755599505,Carbon black/PVA
16.67127626867074,385.7832732178506,Carbon black/PVA
