Nanoparticle Volume (%),Coefficient Of Thermal Expansion (1/K)
3,5.354599296303947,AuNPs/PCL
6,5.124018722124142,AuNPs/PCL
10,4.989303507339713,AuNPs/PCL
12,4.967556907531672,AuNPs/PCL
14,4.954998012559049,AuNPs/PCL
1,-4.6630743135109345,Zinc Oxide/PCL
3,-4.984087144456737,Zinc Oxide/PCL
4,-4.9668736905719335,Zinc Oxide/PCL
8,-5.092548870860228,Zinc Oxide/PCL
13,-5.276927826603051,Zinc Oxide/PCL
4,-6.8211515475066955,SWCNT/PCL
12,-7.335239579087579,SWCNT/PCL
14,-7.359654149257389,SWCNT/PCL
15,-7.393044173107884,SWCNT/PCL
17,-7.445961238914402,SWCNT/PCL
11.370361693867618,3.38456073313088,ZrO2/PCL
12.821908829671644,3.357777019311611,ZrO2/PCL
14.841267886392766,3.3173454439139967,ZrO2/PCL
15.180972774917137,3.298805461712573,ZrO2/PCL
17.03596284374372,3.2596841795366975,ZrO2/PCL
